Age,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EducationField,Gender,Attrition,Department,JobRole,OverTime
41,20,2,2,3,1,2,3140,1,4,0,4,5,2,4,3,0,2,2.0,1.0,1.0,1.0,6.0,1.0
35,23,2,2,2,2,3,5916,3,1,0,8,1,3,1,0,0,1,0.0,0.0,1.0,0.0,3.0,1.0
38,29,1,2,3,2,1,6673,7,2,0,17,2,3,1,0,0,0,1.0,0.0,1.0,0.0,4.0,1.0
29,27,3,2,3,3,4,7639,1,4,3,10,3,2,10,4,1,9,2.0,1.0,1.0,1.0,0.0,0.0
32,4,4,4,1,3,4,10400,1,3,0,14,2,2,14,8,1,8,1.0,0.0,1.0,1.0,0.0,0.0
30,3,3,4,3,1,1,2657,5,3,0,8,5,3,5,2,0,4,3.0,1.0,1.0,0.0,1.0,1.0
30,26,4,3,2,2,1,6696,5,3,0,9,5,2,6,3,0,1,2.0,1.0,1.0,1.0,0.0,0.0
29,1,3,3,3,1,3,2058,0,4,0,7,1,2,6,2,1,5,3.0,0.0,1.0,0.0,1.0,0.0
29,18,1,3,2,1,4,2389,1,3,0,4,3,2,4,3,0,1,1.0,0.0,1.0,0.0,1.0,1.0
33,14,3,3,3,1,4,2436,5,3,1,8,2,1,5,4,0,4,1.0,0.0,1.0,0.0,2.0,1.0
33,2,2,1,3,1,1,2707,7,1,0,13,3,4,9,7,1,7,0.0,1.0,1.0,0.0,2.0,0.0
32,1,3,4,2,1,3,3730,0,4,0,4,2,1,3,2,1,2,0.0,0.0,1.0,0.0,2.0,1.0
37,10,3,1,3,3,3,10048,6,2,2,17,5,3,1,0,0,0,1.0,0.0,1.0,0.0,3.0,0.0
31,29,2,3,2,1,2,3479,0,2,0,6,2,4,5,4,1,4,1.0,0.0,1.0,0.0,2.0,0.0
28,2,4,1,3,1,3,3485,2,3,0,5,5,1,0,0,0,0,0.0,0.0,1.0,0.0,2.0,0.0
47,29,4,1,3,3,2,11849,1,4,1,10,2,2,10,7,1,9,0.0,0.0,1.0,0.0,5.0,1.0
44,24,3,4,3,1,3,3161,3,4,1,19,0,1,1,0,0,0,0.0,0.0,1.0,0.0,2.0,1.0
26,16,4,1,3,1,2,2373,2,4,1,5,2,3,3,2,0,2,1.0,0.0,1.0,0.0,2.0,1.0
26,4,4,4,2,2,4,5828,1,2,0,8,0,3,8,7,7,4,2.0,0.0,1.0,1.0,0.0,1.0
18,3,3,3,3,1,3,1420,1,3,0,0,2,3,0,0,0,0,0.0,0.0,1.0,0.0,2.0,0.0
52,8,4,3,2,2,2,4941,2,1,0,11,3,2,8,2,7,7,1.0,0.0,1.0,0.0,1.0,0.0
28,2,4,1,1,1,4,3464,5,4,0,5,4,2,3,2,2,2,1.0,0.0,1.0,0.0,1.0,1.0
39,3,2,4,3,2,3,5238,4,1,0,12,3,2,1,0,0,0,1.0,1.0,1.0,1.0,0.0,1.0
29,8,4,2,1,1,1,2119,1,4,0,7,4,2,7,7,0,7,4.0,0.0,1.0,0.0,2.0,1.0
21,1,1,1,2,1,2,2174,1,3,0,3,3,3,3,2,1,2,3.0,1.0,1.0,1.0,6.0,1.0
33,5,3,4,3,1,3,2851,1,2,0,1,2,3,1,0,0,0,2.0,1.0,1.0,1.0,6.0,1.0
41,4,3,1,3,2,2,9355,1,3,0,8,5,3,8,7,7,7,2.0,0.0,1.0,1.0,0.0,0.0
40,22,2,3,2,2,3,6380,2,1,2,8,6,3,6,4,1,0,2.0,0.0,1.0,1.0,0.0,1.0
21,12,3,3,4,1,2,2716,1,4,0,1,0,3,1,0,0,0,0.0,1.0,1.0,1.0,6.0,0.0
34,19,3,1,4,2,4,5304,8,2,0,9,3,2,5,2,0,4,2.0,0.0,1.0,1.0,0.0,1.0
26,3,1,3,3,1,1,3102,0,3,0,7,2,3,6,4,0,4,3.0,0.0,1.0,0.0,1.0,0.0
30,4,3,3,3,1,4,2285,9,3,0,3,4,3,1,0,0,0,3.0,0.0,1.0,0.0,1.0,1.0
25,3,3,1,3,1,1,4031,5,3,1,6,5,3,2,2,0,2,1.0,0.0,1.0,0.0,2.0,0.0
24,1,1,1,3,1,2,3202,1,2,0,6,4,3,5,3,1,4,3.0,1.0,1.0,1.0,6.0,1.0
34,6,2,4,1,1,3,2351,0,4,1,3,3,2,2,2,1,0,2.0,1.0,1.0,1.0,6.0,0.0
29,25,5,3,2,1,2,2546,5,2,0,6,2,4,2,2,1,1,3.0,1.0,1.0,0.0,1.0,0.0
19,2,2,1,2,1,4,2564,1,3,0,1,3,4,1,0,0,0,3.0,0.0,1.0,2.0,8.0,0.0
33,15,1,2,3,3,3,13610,7,4,0,15,2,4,7,6,7,7,1.0,0.0,1.0,0.0,5.0,1.0
33,10,1,1,1,1,4,3408,7,1,3,8,2,3,4,3,1,3,1.0,0.0,1.0,0.0,2.0,0.0
31,20,3,1,3,3,3,9824,3,1,0,12,2,3,1,0,0,0,0.0,0.0,1.0,0.0,4.0,0.0
34,23,3,2,3,3,1,9950,9,3,3,11,2,3,3,2,0,2,5.0,1.0,1.0,2.0,8.0,1.0
22,4,1,3,2,1,3,3894,5,3,0,4,3,3,2,2,1,2,3.0,0.0,1.0,0.0,2.0,0.0
26,17,4,2,3,1,3,2741,0,2,1,8,2,2,7,7,1,0,0.0,1.0,1.0,2.0,8.0,1.0
18,5,3,2,3,1,2,1878,1,4,0,0,3,3,0,0,0,0,2.0,0.0,1.0,1.0,6.0,1.0
26,24,3,3,1,1,4,2340,1,2,0,1,3,1,1,0,0,0,3.0,0.0,1.0,0.0,2.0,1.0
32,11,4,4,4,2,3,4707,8,4,0,6,2,3,4,2,1,2,4.0,0.0,1.0,1.0,0.0,0.0
24,7,3,1,3,1,3,2886,1,4,1,6,4,3,6,3,1,2,0.0,1.0,1.0,0.0,2.0,1.0
30,12,4,2,2,1,1,2033,1,3,1,1,2,4,1,0,0,0,0.0,0.0,1.0,1.0,6.0,0.0
31,13,4,2,3,2,1,4233,2,3,0,9,2,1,3,1,1,2,1.0,0.0,1.0,1.0,0.0,0.0
27,2,1,3,3,1,1,3041,0,2,1,5,3,3,4,3,0,2,2.0,0.0,1.0,1.0,6.0,0.0
45,26,4,1,3,2,1,4286,2,4,2,5,4,3,1,1,0,0,0.0,1.0,1.0,1.0,0.0,0.0
20,10,1,4,3,1,3,1009,1,4,0,1,5,3,1,0,1,1,1.0,0.0,1.0,0.0,1.0,1.0
33,3,3,1,3,1,1,3348,1,1,0,10,3,3,10,8,1,7,0.0,0.0,1.0,0.0,1.0,1.0
24,3,2,1,3,2,3,4577,9,1,0,4,3,3,2,2,2,0,0.0,1.0,1.0,1.0,0.0,0.0
50,8,2,2,3,2,3,6796,3,1,1,18,4,3,4,3,1,3,3.0,0.0,1.0,1.0,0.0,1.0
28,1,2,1,1,1,2,2216,7,4,0,10,4,3,7,7,3,7,0.0,1.0,1.0,0.0,1.0,1.0
42,19,3,3,4,1,3,2759,6,4,0,7,2,3,2,2,2,2,1.0,0.0,1.0,0.0,1.0,1.0
33,1,4,4,3,1,4,2686,1,3,0,10,2,2,10,9,7,8,4.0,0.0,1.0,0.0,1.0,1.0
47,27,2,2,4,2,3,6397,4,4,0,8,2,3,5,4,1,3,0.0,1.0,1.0,1.0,0.0,1.0
55,2,3,4,3,5,1,19859,5,4,1,24,2,3,5,2,1,4,1.0,0.0,1.0,0.0,5.0,1.0
26,8,3,4,2,2,1,5326,6,3,0,6,2,2,4,3,1,2,3.0,0.0,1.0,1.0,0.0,0.0
23,6,3,3,4,1,1,1601,1,3,2,1,2,3,0,0,0,0,0.0,0.0,1.0,0.0,2.0,1.0
29,1,2,2,2,1,1,2319,1,4,1,1,1,3,1,0,0,0,0.0,1.0,1.0,0.0,2.0,1.0
33,16,3,1,3,2,1,5324,5,3,0,6,3,3,3,2,0,2,2.0,1.0,1.0,1.0,0.0,0.0
58,2,4,4,3,5,2,19246,7,4,0,10,2,3,5,3,1,8,0.0,0.0,1.0,0.0,7.0,1.0
28,2,4,3,3,1,3,4382,6,4,0,5,3,2,2,2,2,1,1.0,0.0,1.0,0.0,1.0,0.0
49,11,3,3,3,3,4,7654,1,1,2,9,3,4,9,8,7,7,2.0,1.0,1.0,1.0,0.0,0.0
55,2,1,3,3,2,4,5160,4,3,0,12,3,2,9,7,7,3,1.0,0.0,1.0,1.0,0.0,0.0
26,5,2,3,2,1,3,2366,1,1,1,8,2,3,8,7,1,7,1.0,1.0,1.0,0.0,1.0,1.0
35,25,4,4,3,1,2,2022,1,1,1,10,3,2,10,2,7,8,0.0,1.0,1.0,0.0,1.0,1.0
29,1,3,2,2,1,3,2800,6,3,3,5,3,3,3,2,0,2,1.0,1.0,1.0,1.0,6.0,1.0
32,25,4,1,3,1,4,2795,1,3,0,1,2,1,1,0,0,1,0.0,0.0,1.0,0.0,2.0,1.0
58,2,1,4,2,1,4,2380,9,4,1,3,3,2,1,0,0,0,0.0,0.0,1.0,0.0,2.0,1.0
20,2,3,3,2,1,3,2044,1,4,0,2,3,2,2,2,0,2,1.0,1.0,1.0,1.0,6.0,0.0
21,18,1,4,3,1,4,2693,1,1,0,1,3,2,1,0,0,0,4.0,1.0,1.0,0.0,1.0,0.0
22,3,1,2,3,2,3,4171,0,1,1,4,3,4,3,2,0,2,0.0,1.0,1.0,0.0,3.0,1.0
41,2,4,2,1,1,4,2778,4,3,1,10,1,2,7,7,1,0,0.0,1.0,1.0,0.0,2.0,1.0
39,6,3,4,3,1,1,2404,7,4,0,8,2,1,2,2,2,2,1.0,0.0,1.0,0.0,2.0,1.0
25,19,2,3,2,1,2,2413,1,3,3,1,2,3,1,0,0,0,2.0,0.0,1.0,1.0,6.0,1.0
19,21,3,4,2,1,2,2121,1,2,0,1,3,4,1,0,0,0,4.0,0.0,1.0,1.0,6.0,1.0
20,4,3,1,3,1,1,2973,1,2,0,1,2,3,1,0,0,0,3.0,0.0,1.0,0.0,2.0,0.0
36,3,1,3,2,3,4,10325,1,1,1,16,6,3,16,7,3,7,0.0,0.0,1.0,1.0,0.0,1.0
37,1,4,1,2,3,3,10609,5,3,0,17,2,1,14,1,1,7,0.0,0.0,1.0,1.0,0.0,0.0
58,2,3,4,3,1,3,2479,4,1,0,7,4,3,1,0,0,0,3.0,0.0,1.0,0.0,1.0,0.0
40,24,3,2,4,4,2,13194,4,4,0,22,2,2,1,0,0,0,0.0,1.0,1.0,1.0,0.0,1.0
31,9,2,3,2,1,1,2321,0,1,0,4,0,3,3,2,1,2,1.0,0.0,1.0,0.0,1.0,1.0
29,10,3,4,2,1,1,2404,6,3,0,3,5,3,0,0,0,0,0.0,1.0,1.0,0.0,1.0,1.0
30,22,3,1,3,1,3,2132,4,2,0,7,2,3,5,2,0,1,0.0,1.0,1.0,0.0,1.0,1.0
35,14,4,3,2,1,2,3743,1,4,1,5,2,1,4,2,0,2,4.0,0.0,1.0,0.0,2.0,1.0
20,11,3,4,2,1,1,2600,1,1,0,1,2,3,1,0,0,0,1.0,1.0,1.0,0.0,1.0,1.0
30,5,3,2,3,1,2,2422,0,1,0,4,3,3,3,2,1,2,1.0,1.0,1.0,0.0,2.0,0.0
37,11,2,1,1,2,2,4777,5,1,0,15,2,1,1,0,0,0,1.0,1.0,1.0,0.0,4.0,0.0
26,29,2,2,1,2,1,4969,8,4,0,7,6,3,2,2,2,2,1.0,0.0,1.0,1.0,0.0,0.0
52,2,1,1,1,5,4,19845,1,4,1,10,3,3,5,3,6,9,2.0,1.0,1.0,1.0,5.0,0.0
36,16,4,3,4,1,1,2743,1,3,0,18,1,3,5,13,1,3,0.0,1.0,1.0,0.0,2.0,0.0
36,15,3,1,3,2,3,4834,7,2,1,9,3,2,1,0,0,0,4.0,0.0,1.0,0.0,2.0,0.0
26,2,3,1,3,1,1,2042,6,2,1,6,2,3,3,2,1,2,0.0,0.0,1.0,0.0,1.0,1.0
20,9,3,4,3,1,4,2323,1,2,0,2,3,3,2,2,0,2,2.0,1.0,1.0,1.0,6.0,1.0
21,10,3,3,2,1,1,1416,1,1,0,1,6,2,1,0,1,0,0.0,1.0,1.0,0.0,2.0,0.0
51,4,4,1,3,1,3,2461,9,3,3,18,2,4,10,0,2,7,0.0,0.0,1.0,0.0,1.0,1.0
28,24,2,2,2,3,1,8722,1,1,0,10,2,2,10,7,1,9,3.0,0.0,1.0,0.0,4.0,0.0
44,1,2,2,2,3,1,10482,9,4,1,24,1,3,5,6,3,6,1.0,0.0,1.0,2.0,8.0,0.0
35,4,3,4,3,3,1,9582,0,1,0,9,2,3,8,7,4,7,3.0,0.0,1.0,1.0,0.0,1.0
33,29,4,1,2,2,3,4508,1,2,0,14,4,3,13,7,3,8,1.0,1.0,1.0,0.0,1.0,0.0
25,4,1,4,3,1,4,3691,1,2,1,7,3,4,7,7,5,6,3.0,0.0,1.0,0.0,2.0,1.0
26,21,3,1,3,1,3,2377,1,3,1,1,0,2,1,1,0,0,1.0,0.0,1.0,0.0,2.0,0.0
33,25,3,1,2,1,2,2313,4,2,0,5,0,3,2,2,2,2,1.0,0.0,1.0,0.0,1.0,1.0
28,1,3,1,2,1,2,2596,1,1,2,1,2,3,1,0,0,0,1.0,0.0,1.0,0.0,2.0,0.0
50,1,4,4,3,2,3,4728,3,4,0,5,4,3,0,0,0,0,4.0,0.0,1.0,1.0,0.0,1.0
39,2,3,1,3,4,4,12169,7,4,3,21,4,3,5,7,1,5,0.0,0.0,1.0,0.0,4.0,0.0
18,8,1,3,3,1,3,1904,1,4,0,0,0,3,0,0,0,0,1.0,0.0,1.0,0.0,2.0,0.0
33,9,4,1,3,2,1,8224,0,1,0,6,3,3,5,2,0,3,2.0,1.0,1.0,1.0,0.0,1.0
31,15,3,3,3,1,3,2610,1,3,1,2,5,2,2,2,2,2,1.0,0.0,1.0,0.0,2.0,0.0
29,23,1,4,2,3,1,7336,1,1,1,11,3,1,11,8,3,10,0.0,1.0,1.0,1.0,0.0,0.0
42,12,3,3,3,4,1,13758,0,2,0,22,2,2,5,9,1,3,0.0,0.0,1.0,1.0,0.0,1.0
28,12,1,3,3,1,4,2515,1,4,0,1,4,2,1,1,0,0,0.0,1.0,1.0,0.0,2.0,1.0
43,9,3,1,1,2,3,5346,8,2,0,7,2,2,4,3,1,3,2.0,1.0,1.0,1.0,0.0,0.0
44,10,4,3,3,1,3,2936,1,3,0,6,4,3,6,4,0,2,0.0,0.0,1.0,0.0,1.0,1.0
22,3,4,3,2,1,4,2853,0,2,1,1,5,3,0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0
41,5,2,1,2,1,1,2107,6,1,1,5,2,1,1,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0
24,17,2,4,3,1,2,2210,1,1,1,1,3,1,1,0,0,0,0.0,1.0,1.0,0.0,2.0,0.0
19,10,3,1,2,1,2,1859,1,2,0,1,2,4,1,1,0,0,1.0,1.0,1.0,0.0,1.0,1.0
25,24,1,3,1,1,4,1118,1,4,0,1,4,3,1,0,1,0,0.0,0.0,1.0,1.0,6.0,1.0
45,2,3,1,1,5,2,18824,2,1,0,26,2,3,5,10,1,11,2.0,1.0,1.0,1.0,5.0,1.0
21,10,2,1,2,1,3,2625,1,3,0,2,2,1,2,2,2,2,0.0,1.0,1.0,0.0,2.0,0.0
44,15,3,1,3,3,4,7978,1,4,1,10,2,3,10,7,0,5,1.0,1.0,1.0,0.0,4.0,0.0
29,7,3,2,3,1,3,3339,3,1,2,10,2,3,7,7,7,7,3.0,1.0,1.0,0.0,2.0,1.0
32,7,2,4,3,2,3,4883,1,1,1,10,3,3,10,4,1,1,0.0,0.0,1.0,0.0,2.0,0.0
39,23,3,3,3,1,1,3904,0,1,0,6,2,3,5,2,0,3,1.0,0.0,1.0,0.0,1.0,0.0
40,25,4,4,2,3,2,9094,2,3,0,9,2,3,5,4,1,0,2.0,0.0,1.0,1.0,0.0,1.0
52,5,3,2,3,3,2,8446,9,3,0,10,2,2,8,7,7,7,0.0,0.0,1.0,1.0,0.0,1.0
31,1,3,4,3,1,2,2302,1,1,0,3,2,4,3,2,2,2,0.0,1.0,1.0,1.0,6.0,1.0
44,3,3,1,3,1,1,2362,4,3,0,10,4,4,3,2,1,2,0.0,0.0,1.0,0.0,2.0,0.0
58,7,4,3,2,3,1,10008,7,4,0,31,0,2,10,9,5,9,1.0,1.0,1.0,0.0,3.0,1.0
55,13,4,1,4,4,3,13695,6,3,0,24,2,2,5,7,3,8,2.0,0.0,1.0,1.0,0.0,1.0
31,2,3,3,2,1,4,2785,7,3,0,3,3,4,1,0,0,0,0.0,1.0,1.0,1.0,6.0,0.0
35,18,4,4,3,2,3,4614,0,3,1,5,0,2,4,2,3,2,2.0,1.0,1.0,1.0,0.0,1.0
31,22,4,4,3,2,3,6179,1,4,2,10,3,2,10,2,6,7,1.0,0.0,1.0,0.0,3.0,1.0
27,17,4,4,3,1,3,2394,1,4,0,8,2,3,8,2,7,7,0.0,1.0,1.0,0.0,1.0,1.0
49,28,2,1,2,2,1,4284,3,1,0,20,2,3,4,3,1,3,0.0,0.0,1.0,0.0,2.0,0.0
29,14,1,3,3,3,4,7553,0,1,0,9,1,3,8,7,7,7,4.0,1.0,1.0,0.0,4.0,1.0
31,1,4,2,1,1,3,1359,1,2,0,1,3,3,1,0,0,0,0.0,1.0,1.0,1.0,6.0,0.0
31,8,3,1,2,1,2,1261,1,3,0,1,3,4,1,0,0,0,0.0,1.0,1.0,0.0,1.0,0.0
25,9,2,1,2,1,1,4400,3,1,0,6,2,3,3,2,2,2,0.0,0.0,1.0,1.0,6.0,0.0
46,9,3,1,3,3,4,10096,4,1,1,28,1,4,7,7,4,3,2.0,0.0,1.0,1.0,0.0,0.0
39,2,3,1,2,1,1,3646,2,2,0,11,2,4,1,0,0,0,0.0,1.0,1.0,0.0,2.0,1.0
31,1,5,3,4,3,2,7446,1,1,0,10,2,3,10,8,4,7,0.0,1.0,1.0,0.0,3.0,0.0
31,2,3,2,3,1,4,3722,6,3,1,7,2,1,2,2,2,2,0.0,0.0,1.0,0.0,2.0,1.0
34,9,4,1,3,1,3,2742,1,4,0,2,0,3,2,2,2,2,3.0,1.0,1.0,2.0,8.0,0.0
28,1,3,1,3,1,3,2909,3,4,1,5,3,4,3,2,1,2,3.0,0.0,1.0,1.0,6.0,0.0
29,13,3,1,3,2,2,5765,5,1,0,7,4,1,5,3,0,0,3.0,1.0,1.0,1.0,0.0,0.0
34,24,4,1,2,2,2,4599,0,3,0,16,2,4,15,9,1,10,1.0,1.0,1.0,1.0,0.0,1.0
24,9,3,2,3,1,1,3172,2,3,0,4,2,2,0,0,0,0,1.0,0.0,1.0,0.0,2.0,1.0
28,2,2,3,2,1,1,2561,7,3,0,8,2,2,0,0,0,0,1.0,0.0,1.0,0.0,2.0,0.0
29,1,4,1,2,1,1,2362,6,3,0,11,2,1,9,7,0,7,3.0,0.0,1.0,0.0,1.0,0.0
40,9,4,4,3,1,1,2018,3,2,0,15,3,1,5,4,1,0,0.0,0.0,1.0,0.0,2.0,0.0
31,3,3,4,3,1,3,4084,1,1,0,7,2,1,7,2,7,7,0.0,1.0,1.0,0.0,1.0,0.0
30,1,3,2,2,2,1,9714,1,4,1,10,4,3,10,8,6,7,0.0,0.0,1.0,1.0,0.0,0.0
35,2,3,1,3,1,1,2074,1,4,1,1,2,3,1,0,0,0,0.0,1.0,1.0,0.0,2.0,1.0
53,2,5,3,2,3,4,10169,0,2,1,10,4,3,5,7,1,9,3.0,1.0,1.0,0.0,3.0,0.0
38,2,3,3,3,2,2,4855,4,1,2,7,2,3,5,2,1,4,1.0,0.0,1.0,0.0,3.0,0.0
28,24,3,3,3,1,2,2408,1,3,3,1,3,3,1,1,0,0,1.0,0.0,1.0,0.0,2.0,1.0
18,3,2,2,3,1,4,1569,1,3,0,0,2,4,0,0,0,0,1.0,1.0,1.0,1.0,6.0,1.0
35,10,3,4,2,3,1,10306,9,3,0,15,3,3,13,12,6,0,1.0,0.0,1.0,1.0,0.0,0.0
35,15,2,1,1,2,4,5440,6,4,2,7,2,2,2,2,2,2,1.0,0.0,1.0,1.0,0.0,1.0
40,7,3,1,3,1,1,2166,3,2,0,10,3,1,4,2,0,3,0.0,0.0,1.0,0.0,2.0,1.0
35,12,4,4,3,2,4,4581,3,1,0,13,2,4,11,9,6,7,4.0,0.0,1.0,1.0,0.0,1.0
23,8,1,4,2,1,3,3989,1,1,0,5,2,3,5,4,1,2,1.0,0.0,1.0,0.0,2.0,1.0
48,7,2,4,3,1,3,2655,2,3,2,19,3,3,9,7,7,7,1.0,1.0,1.0,1.0,6.0,1.0
32,2,4,4,3,1,2,1393,1,1,0,1,2,3,1,0,0,0,0.0,0.0,1.0,0.0,2.0,0.0
23,7,3,3,3,1,4,2275,1,2,1,3,2,3,3,2,0,2,0.0,0.0,1.0,1.0,6.0,1.0
24,22,1,4,1,1,3,1555,1,3,1,1,2,3,1,0,0,0,5.0,0.0,1.0,2.0,8.0,0.0
47,9,3,3,1,4,3,12936,7,3,0,25,3,1,5,5,1,10,0.0,0.0,1.0,1.0,0.0,0.0
36,13,5,2,2,2,1,6134,5,2,3,16,3,3,2,2,2,2,2.0,0.0,1.0,1.0,0.0,1.0
32,1,2,1,1,2,2,6735,6,2,0,10,2,3,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0
30,8,3,3,2,1,4,2180,6,3,1,6,0,2,4,2,1,2,5.0,1.0,1.0,2.0,8.0,0.0
29,9,3,2,1,1,2,2760,1,3,0,2,3,3,2,2,2,2,2.0,1.0,1.0,1.0,6.0,0.0
33,16,3,1,3,3,1,8564,2,3,0,11,2,2,0,0,0,0,0.0,1.0,1.0,1.0,0.0,1.0
31,16,4,1,3,3,3,8161,2,1,3,10,2,3,1,0,0,0,2.0,0.0,1.0,1.0,0.0,0.0
43,17,3,3,2,1,3,2437,9,4,1,6,4,3,1,0,0,0,3.0,0.0,1.0,0.0,1.0,1.0
21,7,1,2,3,1,2,2679,1,2,0,1,3,3,1,0,1,0,2.0,0.0,1.0,1.0,6.0,0.0
22,8,1,3,3,1,1,2398,1,3,0,1,6,3,1,0,0,0,1.0,1.0,1.0,0.0,2.0,1.0
44,1,2,3,3,1,2,2342,1,3,3,6,2,2,5,3,2,3,1.0,0.0,1.0,0.0,1.0,1.0
35,27,3,3,3,2,4,5813,1,4,0,10,2,3,10,7,7,7,0.0,0.0,1.0,1.0,0.0,1.0
34,9,4,4,3,2,1,5346,4,3,1,11,3,2,7,1,0,7,0.0,0.0,1.0,0.0,2.0,0.0
37,10,4,4,3,2,1,4213,1,2,0,10,4,1,10,3,0,8,1.0,0.0,1.0,0.0,3.0,0.0
26,20,2,4,3,1,2,2148,0,3,0,6,3,3,5,1,1,4,1.0,1.0,1.0,2.0,8.0,1.0
46,21,2,4,3,2,2,8926,4,4,1,13,2,4,9,7,3,7,1.0,1.0,1.0,0.0,4.0,0.0
31,18,5,4,4,1,1,2956,0,3,0,2,4,3,1,0,0,0,5.0,0.0,1.0,2.0,8.0,0.0
29,13,3,1,2,1,1,2335,4,4,3,4,3,3,2,2,2,0,5.0,0.0,1.0,2.0,8.0,1.0
32,2,4,3,2,2,2,9907,7,3,0,7,3,2,2,2,2,2,2.0,0.0,1.0,1.0,0.0,1.0
29,24,2,4,2,1,4,2439,1,2,0,1,3,2,1,0,1,0,0.0,0.0,1.0,0.0,1.0,1.0
46,10,3,3,3,3,2,7314,5,3,3,14,2,3,8,7,0,7,0.0,1.0,1.0,1.0,0.0,0.0
30,9,3,2,3,1,4,1081,1,3,0,1,3,2,1,0,0,0,1.0,0.0,1.0,1.0,6.0,0.0
22,7,1,4,3,1,2,2472,1,1,0,1,2,3,1,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0
